RANK	MISSING	COV%	STMTS	FILE
1	111	87.4	989	jarvis_core\advanced\features.py
2	85	68.6	251	jarvis_core\notes\note_generator.py
3	74	65.9	249	jarvis_core\stages\pretrain_citation.py
4	71	63.4	224	jarvis_core\scientist\coscientist.py
5	70	43.6	136	jarvis_core\browser\subagent.py
6	69	42.2	130	jarvis_core\llm\ollama_adapter.py
7	68	88.0	590	jarvis_core\lab\automation.py
8	63	42.4	128	jarvis_core\provenance\linker.py
9	62	41.9	121	jarvis_core\scheduler\engine.py
10	61	36.6	108	jarvis_core\evaluation\gates.py
11	60	58.8	164	jarvis_core\protein\biomolecule.py
12	59	59.1	160	jarvis_core\database\pool.py
13	57	38.2	105	jarvis_core\evidence\ensemble.py
14	57	41.3	116	jarvis_core\perf\memory_optimizer.py
15	57	43.1	111	jarvis_core\obs\metrics.py
16	57	58.0	167	jarvis_core\storage\run_store.py
17	57	62.1	166	jarvis_core\eval\validator.py
18	55	62.0	179	jarvis_core\plugins\plugin_system.py
19	54	28.0	82	jarvis_core\intelligence\metrics_collector.py
20	54	51.4	127	jarvis_core\obs\alerts\engine.py
21	53	54.8	129	jarvis_core\sources\openalex_client.py
22	53	63.2	169	jarvis_core\analysis\grade_system.py
23	52	20.4	72	jarvis_core\ranking\explainer.py
24	52	38.2	95	jarvis_core\cli_v4\main.py
25	51	0.0	51	jarvis_core\orchestrator\agents\synthesis.py
26	51	31.2	85	jarvis_core\research\writing_assistant.py
27	51	67.6	164	jarvis_core\stages\pretrain_meta.py
28	50	61.1	162	jarvis_core\orchestrator\multi_agent.py
29	49	9.7	56	jarvis_core\index_builder.py
30	49	22.1	68	jarvis_core\ranking\lgbm_ranker.py
31	48	30.8	80	jarvis_core\runtime\retry.py
32	48	60.7	139	jarvis_core\retrieval\hybrid_retrieval.py
33	47	0.0	47	jarvis_core\orchestrator\agents\browser.py
34	47	32.6	75	jarvis_core\policies\stop_policy.py
35	47	41.9	94	jarvis_core\config_utils.py
36	46	22.0	64	jarvis_core\ingestion\normalizer.py
37	46	32.6	74	jarvis_core\index\bm25_store.py
38	46	57.9	116	jarvis_core\perf\profiler.py
39	46	63.6	156	jarvis_core\plugins\zotero_integration.py
40	46	82.3	354	jarvis_core\workflow\automation.py
41	45	0.0	45	jarvis_core\review\living_updater.py
42	45	34.3	79	jarvis_core\intelligence\outcome_tracker.py
43	45	47.1	94	jarvis_core\active_learning\stopping.py
44	45	48.3	115	jarvis_core\reliability\chaos.py
45	45	56.7	109	jarvis_core\embeddings\vector_store.py
46	44	19.5	59	jarvis_core\retrieval\hyde.py
47	44	53.3	102	jarvis_core\ops\security_ops.py
48	44	61.3	133	jarvis_core\analysis\citation_stance.py
49	43	25.8	67	jarvis_core\replay\reproduce.py
50	43	36.6	77	jarvis_core\eval\claim_checker.py
51	43	51.6	98	jarvis_core\perf\dashboard.py
52	43	53.5	110	jarvis_core\runtime\circuit_breaker.py
53	43	54.2	110	jarvis_core\intelligence\goldset_index.py
54	43	54.8	119	jarvis_core\extraction\pdf_extractor.py
55	43	65.5	141	jarvis_core\sources\arxiv_client.py
56	42	57.9	110	jarvis_core\agents.py
57	42	60.4	118	jarvis_core\ranking\ranker.py
58	42	65.5	123	jarvis_core\evidence\llm_classifier.py
59	42	73.8	184	jarvis_core\performance\mobile.py
60	41	49.6	89	jarvis_core\llm\llamacpp_adapter.py

TOTAL: 74.19% (45704 stmts, 9860 missing)
Target: 85% => need to cover 3004 more lines
