Checked 84 files

[FAIL] 62 violations found:

  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\agent_registry.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\API_REFERENCE.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\ARCHITECTURE_DECISIONS.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\CHANGELOG_v42.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\CITATION_PRECISION.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\codex_progress.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\CRITICAL_ENFORCEMENT_LAYER.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\DecisionLog.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\DEFINITION_OF_DONE.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\DEPLOYMENT_GUIDE.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\DoD_PHASE2.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\EVALS_LIVE.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
